Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2021,Walmart Labs,Data Scientist,243000,"Sunnyvale, CA",2,Male,0,0,1,0,0,PhD
2021,Optiver,Data Scientist,155000,"Chicago, IL",1,Male,0,1,0,0,0,Bachelor's Degree
2021,Capital One,Data Scientist,151000,"Vienna, VA",5,Male,0,0,1,0,0,PhD
2021,Capital One,Business Analyst,150000,"Washington, DC",4,Male,0,0,0,0,0,NA
2021,JPMorgan Chase,Data Scientist,85000,"New York, NY",2,Male,0,1,0,0,0,Bachelor's Degree
2021,EPAM Systems,Business Analyst,78000,"Pennsylvania Furnace, PA",0,Other,0,0,0,0,0,NA
2021,Microsoft,Data Scientist,143000,"London, EN, United Kingdom",5,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Data Scientist,246000,"Seattle, WA",5,Male,0,0,1,0,0,PhD
2021,Ernst and Young,Data Scientist,78000,"Atlanta, GA",1,Male,0,1,0,0,0,Bachelor's Degree
2021,Wayfair,Business Analyst,77000,"Boston, MA",0,Male,0,1,0,0,0,Bachelor's Degree
2021,Capital One,Business Analyst,160000,"New York, NY",4,Female,0,1,0,0,0,Bachelor's Degree
2021,Cisco,Data Scientist,245000,"New York, NY",4,Male,0,0,1,0,0,PhD
2021,PayPal,Business Analyst,221000,"San Jose, CA",20,Male,1,0,0,0,0,Master's Degree
2021,Accenture,Data Scientist,16000,"Indianapolis, IN",0,Male,0,1,0,0,0,Bachelor's Degree
2021,DAZN Group,Data Scientist,61000,"Amsterdam, NH, Netherlands",3,Male,1,0,0,0,0,Master's Degree
2020,Asana,Data Scientist,170000,"San Francisco, CA",4,Male,0,0,0,0,0,NA
2020,Qualcomm,Business Analyst,128000,"San Diego, CA",6,Male,1,0,0,0,0,Master's Degree
2020,Grab,Data Scientist,57000,"Singapore, SG, Singapore",2,Female,0,1,0,0,0,Bachelor's Degree
2021,Flexport,Data Scientist,144000,"San Francisco, CA",1,Male,0,1,0,0,0,Bachelor's Degree
2021,Chime,Data Scientist,295000,"San Francisco, CA",2,Male,1,0,0,0,0,Master's Degree
2021,DoorDash,Data Scientist,198000,"San Francisco, CA",1,Male,1,0,0,0,0,Master's Degree
2021,ZS Associates,Business Analyst,105000,"San Francisco, CA",2,Male,1,0,0,0,0,Master's Degree
2021,Deliveroo,Data Scientist,382000,"London, EN, United Kingdom",7,Male,1,0,0,0,0,Master's Degree
2021,Manulife,Business Analyst,87000,"Waterloo, ON, Canada",14,Male,0,1,0,0,0,Bachelor's Degree
2021,Verizon,Data Scientist,35000,"Chennai, TN, India",8,Male,1,0,0,0,0,Master's Degree
2021,Microsoft,Data Scientist,159000,"Redmond, WA",1,Male,1,0,0,0,0,Master's Degree
2020,Microsoft,Data Scientist,390000,"Berkeley, CA",5,Male,1,0,1,0,0,Master's Degree
2020,GoDaddy,Data Scientist,150000,"Arizona City, AZ",2,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Data Scientist,101000,"Bangalore, KA, India",4,Male,1,0,0,0,0,Master's Degree
2021,CVS Health,Data Scientist,141000,"Chicago, IL",1,Male,0,0,1,0,0,PhD
2021,Amazon,Business Analyst,93000,"Seattle, WA",2,Female,1,0,0,0,0,Master's Degree
2021,Atlassian,Data Scientist,76000,"Bangalore, KA, India",7,Male,1,0,0,0,0,Master's Degree
2020,Capital One,Business Analyst,95000,"Washington, DC",1,Male,0,0,0,0,0,NA
2020,Microsoft,Data Scientist,78000,"Munich, BY, Germany",2,Female,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,162000,"Singapore, SG, Singapore",11,Male,1,0,0,0,0,Master's Degree
2021,ABB,Business Analyst,115000,"Nashville, TN",7,Male,0,1,0,0,0,Bachelor's Degree
2021,Capital One,Data Scientist,170000,"Arlington, VA",4,Female,0,0,1,0,0,PhD
2020,ExxonMobil,Data Scientist,106000,"Houston, TX",1,Male,0,0,0,0,0,NA
2020,Facebook,Data Scientist,300000,"San Jose, CA",20,Male,1,0,0,0,0,Master's Degree
2020,Yahoo,Data Scientist,180000,"Sunnyvale, CA",4,Male,1,0,0,0,0,Master's Degree
2020,Amazon,Data Scientist,212000,"Seattle, WA",10,Male,1,0,0,0,0,Master's Degree
2021,Oracle,Data Scientist,30000,"Bengaluru, KA, India",0,Male,0,1,0,0,0,Bachelor's Degree
2021,Facebook,Data Scientist,226000,"Fremont, CA",10,Male,1,0,0,0,0,Master's Degree
2021,Dream11,Data Scientist,77000,"Mumbai, MH, India",4,Male,0,1,0,0,0,Bachelor's Degree
